wkt_geom,latitude,longitude,NOMGEO,NOM_ENT,acq_date_mex,SATELITE
POINT (-105.35928 23.77461),23.77461,-105.35928,Pueblo Nuevo,Durango,2025-10-03 10:24:00,Sin Info
POINT (-105.36572 23.77894),23.77894,-105.36572,Pueblo Nuevo,Durango,2025-10-08 10:24:00,Sin Info
POINT (-105.35614 23.7776),23.7776,-105.35614,Pueblo Nuevo,Durango,2025-10-08 10:24:00,Sin Info
POINT (-103.39576 25.49014),25.49014,-103.39576,Torreón,Coahuila de Zaragoza,2025-10-03 03:07:00,Sin Info
POINT (-103.39922 25.48646),25.48646,-103.39922,Torreón,Coahuila de Zaragoza,2025-10-04 02:45:00,Sin Info
POINT (-105.20139 23.8616),23.8616,-105.20139,Durango,Durango,2025-10-04 02:48:00,Sin Info
POINT (-104.06894 26.5143),26.5143,-104.06894,Mapimí,Durango,2025-10-04 14:02:00,Sin Info
POINT (-104.06241 26.52226),26.52226,-104.06241,Mapimí,Durango,2025-10-04 14:02:00,Sin Info
POINT (-104.05981 26.52958),26.52958,-104.05981,Mapimí,Durango,2025-10-04 14:02:00,Sin Info
POINT (-104.07162 26.52765),26.52765,-104.07162,Mapimí,Durango,2025-10-04 14:02:00,Sin Info
POINT (-104.07229 26.53099),26.53099,-104.07229,Mapimí,Durango,2025-10-04 14:02:00,Sin Info
POINT (-104.17767 26.52761),26.52761,-104.17767,Mapimí,Durango,2025-10-04 14:02:00,Sin Info
POINT (-103.39737 25.48598),25.48598,-103.39737,Torreón,Coahuila de Zaragoza,2025-10-05 02:28:00,Sin Info
POINT (-105.34541 23.7965),23.7965,-105.34541,Pueblo Nuevo,Durango,2025-10-05 02:28:00,Sin Info
POINT (-103.39865 25.48679),25.48679,-103.39865,Torreón,Coahuila de Zaragoza,2025-10-06 02:09:00,Sin Info
POINT (-103.70567 24.93166),24.93166,-103.70567,Cuencamé,Durango,2025-10-08 14:25:00,Sin Info
POINT (-103.39938 25.48809),25.48809,-103.39938,Torreón,Coahuila de Zaragoza,2025-10-04 03:07:00,Sin Info
POINT (-105.20178 23.86211),23.86211,-105.20178,Durango,Durango,2025-10-04 03:07:00,Sin Info
POINT (-103.39798 25.48659),25.48659,-103.39798,Torreón,Coahuila de Zaragoza,2025-10-05 02:48:00,Sin Info
POINT (-105.34232 23.79781),23.79781,-105.34232,Pueblo Nuevo,Durango,2025-10-05 02:50:00,Sin Info
POINT (-103.39909 25.48869),25.48869,-103.39909,Torreón,Coahuila de Zaragoza,2025-10-06 02:30:00,Sin Info
POINT (-103.40006 25.48833),25.48833,-103.40006,Torreón,Coahuila de Zaragoza,2025-10-07 02:09:00,Sin Info
POINT (-103.70193 24.93059),24.93059,-103.70193,Cuencamé,Durango,2025-10-08 13:06:00,Sin Info
POINT (-103.39583 25.4883),25.4883,-103.39583,Torreón,Coahuila de Zaragoza,2025-10-03 02:37:00,Sin Info
POINT (-103.96855 23.76802),23.76802,-103.96855,Vicente Guerrero,Durango,2025-10-03 02:37:00,Sin Info
POINT (-103.44684 25.7184),25.7184,-103.44684,Gómez Palacio,Durango,2025-10-03 13:51:00,Sin Info
POINT (-103.33092 25.76285),25.76285,-103.33092,Gómez Palacio,Durango,2025-10-03 13:51:00,Sin Info
POINT (-103.33507 25.76215),25.76215,-103.33507,Gómez Palacio,Durango,2025-10-03 13:51:00,Sin Info
POINT (-103.33163 25.76627),25.76627,-103.33163,Gómez Palacio,Durango,2025-10-03 13:51:00,Sin Info
POINT (-103.39738 25.48931),25.48931,-103.39738,Torreón,Coahuila de Zaragoza,2025-10-04 02:18:00,Sin Info
POINT (-105.20274 23.86343),23.86343,-105.20274,Durango,Durango,2025-10-04 02:20:00,Sin Info
